,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0600
1,6001027,75JFxkI2RXiU7L9VXzMkle,,,92.124,7.876343447773554,19,0600
2,5000019,49ilSrZNQcle6PYw8rtvzM,,,92.097,7.902569209874099,21,0600
3,5000017,34dnNAUoIPcwnK0RtVMBWZ,,,91.605,8.394682387941812,62,0600
4,1686718,2LbHYfTYW6TipHInIjqdaQ,the scientist,2015-04-28,91.509,8.490850519752463,71,0600
5,5000013,2LbHYfTYW6TipHInIjqdaQ,,,91.205,8.795120459064744,108,0600
6,5000018,49Nzxf1LskunwmZ6EyWUew,,,91.1,8.900340537586155,130,0600
7,5000011,5FoM2ZWwhgTxHFFh2stUw6,,,90.839,9.161096228639,196,0600
8,5000001,025vpSSyndhVZezl8rUF6L,,,90.756,9.24378556292389,220,0600
9,5000012,7tn1tcxenMwDXrYTOjS3z1,,,90.695,9.304555889588428,244,0600
10,5000007,6TyaYGQKCnRLVTOQlXvYAA,,,85.63,14.36981542933045,2444,0600
11,5000008,68iMdxXn1timrxURm9dR8C,,,61.89,38.109755643816335,5068,0600
12,5000020,66Z3LdLjtwfIdHFF0wZa5B,,,58.462,41.53761680240157,5174,0600
13,5000023,6f46TyGZm5oeKIP54PLvql,,,14.166,85.8337919922225,5775,0600
