,id_chord,id_spotify_track,name,release_date,percentage,rank,position,id_experiment
0,180849,3jButwtJMLx3Ub61BfRiHh,the scientist,2022-06-03,100.0,0.0,0,0300
1,569357,7kxfWvj6u9oWQ5C36kMtGb,watch over you,2007-01-01,94.528,5.471590643534766,1,0300
2,1065079,2U8g9wVcUu9wsg6i7sFSv8,every teardrop is a waterfall,2011-10-24,94.26,5.739799674729906,2,0300
3,672021,4wWPjMdb7owUVi5S43yFtJ,give me jesus,2006-01-01,94.258,5.742266126846153,3,0300
4,2846348,4j5ffIFh7bFT7GZciP1TCy,10000 hours,2021-08-13,94.15,5.849941271114581,4,0300
5,1148352,2R6UrJ8uWbSIiHWmvRQvN8,whiskey in the jar,1998-01-01,93.929,6.071129928961396,5,0300
6,263779,6aXKbU2QGsOms8UT3eUOg1,catch the wind,1965-05-14,93.885,6.114806522656953,6,0300
7,1025154,67xq6C6IdzUgCOaCrP1nM0,the stable song,2016-06-10,93.854,6.145947160145575,7,0300
8,2065851,43IbCqMcMvZi1v16LFAE3n,safe,2017-06-01,93.845,6.155223452350903,8,0300
9,1048915,4bcgRbGeq4IejesjsiHyTH,little bird,2011-09-09,93.841,6.15899803233098,9,0300
