0,1,2,3,4,5,6,7,8,9,10,11,12,13
180849,6001027,1686718,5000013,5000001,5000007,5000008,5000023,5000017,5000019,5000020,5000018,5000011,5000012
6001971,6001984
6002492,6002491
6000699,6001165,6000182
6000104,6000273
6000768,6000784
6001931,6001748
6002043,6002073
6002244,6000194
6001209,6000606
6000352,6001248
6000549,6001508,6001242
6001918,6001997
6001651,6001900
6000263,6001570,6002374
6001822,6001653
6000763,6000668
6000764,6000667
6001543,6001541
6000762,6000773
6000771,6000670
6001747,6001952
6000548,6002203
6000172,6002133
6001762,6001675
6002147,6002146
6000767,6000775
6000766,6000673
6001506,6000529
6000397,6000409
6001914,6002001
6002482,6002454
6000765,6000783
6000761,6000782
6000814,6000813
6001224,6000140
